name,description,module,path
"brainstorming","Facilitate interactive brainstorming sessions using diverse creative techniques and ideation methods","core","_bmad/core/workflows/brainstorming/workflow.md"
"party-mode","Orchestrates group discussions between all installed BMAD agents, enabling natural multi-agent conversations","core","_bmad/core/workflows/party-mode/workflow.md"
"create-product-brief","Create comprehensive product briefs through collaborative step-by-step discovery as creative Business Analyst working with the user as peers.","bmm","_bmad/bmm/workflows/1-analysis/create-product-brief/workflow.md"
"domain-research","Conduct domain research covering industry analysis, regulations, technology trends, and ecosystem dynamics using current web data and verified sources.","bmm","_bmad/bmm/workflows/1-analysis/research/workflow-domain-research.md"
"market-research","Conduct market research covering market size, growth, competition, and customer insights using current web data and verified sources.","bmm","_bmad/bmm/workflows/1-analysis/research/workflow-market-research.md"
"technical-research","Conduct technical research covering technology evaluation, architecture decisions, and implementation approaches using current web data and verified sources.","bmm","_bmad/bmm/workflows/1-analysis/research/workflow-technical-research.md"
"create-prd","Create a comprehensive PRD (Product Requirements Document) through structured workflow facilitation","bmm","_bmad/bmm/workflows/2-plan-workflows/create-prd/workflow-create-prd.md"
"edit-prd","Edit and improve an existing PRD - enhance clarity, completeness, and quality","bmm","_bmad/bmm/workflows/2-plan-workflows/create-prd/workflow-edit-prd.md"
"validate-prd","Validate an existing PRD against BMAD standards - comprehensive review for completeness, clarity, and quality","bmm","_bmad/bmm/workflows/2-plan-workflows/create-prd/workflow-validate-prd.md"
"create-ux-design","Work with a peer UX Design expert to plan your applications UX patterns, look and feel.","bmm","_bmad/bmm/workflows/2-plan-workflows/create-ux-design/workflow.md"
"check-implementation-readiness","Critical validation workflow that assesses PRD, Architecture, and Epics & Stories for completeness and alignment before implementation. Uses adversarial review approach to find gaps and issues.","bmm","_bmad/bmm/workflows/3-solutioning/check-implementation-readiness/workflow.md"
"create-architecture","Collaborative architectural decision facilitation for AI-agent consistency. Replaces template-driven architecture with intelligent, adaptive conversation that produces a decision-focused architecture document optimized for preventing agent conflicts.","bmm","_bmad/bmm/workflows/3-solutioning/create-architecture/workflow.md"
"create-epics-and-stories","Transform PRD requirements and Architecture decisions into comprehensive stories organized by user value. This workflow requires completed PRD + Architecture documents (UX recommended if UI exists) and breaks down requirements into implementation-ready epics and user stories that incorporate all available technical and design context. Creates detailed, actionable stories with complete acceptance criteria for development teams.","bmm","_bmad/bmm/workflows/3-solutioning/create-epics-and-stories/workflow.md"
"code-review","Perform an ADVERSARIAL Senior Developer code review that finds 3-10 specific problems in every story. Challenges everything: code quality, test coverage, architecture compliance, security, performance. NEVER accepts `looks good` - must find minimum issues and can auto-fix with user approval.","bmm","_bmad/bmm/workflows/4-implementation/code-review/workflow.yaml"
"correct-course","Navigate significant changes during sprint execution by analyzing impact, proposing solutions, and routing for implementation","bmm","_bmad/bmm/workflows/4-implementation/correct-course/workflow.yaml"
"create-story","Create the next user story from epics+stories with enhanced context analysis and direct ready-for-dev marking","bmm","_bmad/bmm/workflows/4-implementation/create-story/workflow.yaml"
"dev-story","Execute a story by implementing tasks/subtasks, writing tests, validating, and updating the story file per acceptance criteria","bmm","_bmad/bmm/workflows/4-implementation/dev-story/workflow.yaml"
"retrospective","Run after epic completion to review overall success, extract lessons learned, and explore if new information emerged that might impact the next epic","bmm","_bmad/bmm/workflows/4-implementation/retrospective/workflow.yaml"
"sprint-planning","Generate and manage the sprint status tracking file for Phase 4 implementation, extracting all epics and stories from epic files and tracking their status through the development lifecycle","bmm","_bmad/bmm/workflows/4-implementation/sprint-planning/workflow.yaml"
"sprint-status","Summarize sprint-status.yaml, surface risks, and route to the right implementation workflow.","bmm","_bmad/bmm/workflows/4-implementation/sprint-status/workflow.yaml"
"quick-dev","Flexible development - execute tech-specs OR direct instructions with optional planning.","bmm","_bmad/bmm/workflows/bmad-quick-flow/quick-dev/workflow.md"
"quick-spec","Conversational spec engineering - ask questions, investigate code, produce implementation-ready tech-spec.","bmm","_bmad/bmm/workflows/bmad-quick-flow/quick-spec/workflow.md"
"document-project","Analyzes and documents brownfield projects by scanning codebase, architecture, and patterns to create comprehensive reference documentation for AI-assisted development","bmm","_bmad/bmm/workflows/document-project/workflow.yaml"
"generate-project-context","Creates a concise project-context.md file with critical rules and patterns that AI agents must follow when implementing code. Optimized for LLM context efficiency.","bmm","_bmad/bmm/workflows/generate-project-context/workflow.md"
"qa-automate","Generate tests quickly for existing features using standard test patterns","bmm","_bmad/bmm/workflows/qa/automate/workflow.yaml"
"create-agent","Create a new BMAD agent with best practices and compliance","bmb","_bmad/bmb/workflows/agent/workflow-create-agent.md"
"edit-agent","Edit existing BMAD agents while maintaining compliance","bmb","_bmad/bmb/workflows/agent/workflow-edit-agent.md"
"validate-agent","Validate existing BMAD agents and offer to improve deficiencies","bmb","_bmad/bmb/workflows/agent/workflow-validate-agent.md"
"create-module-brief","Create product brief for BMAD module development","bmb","_bmad/bmb/workflows/module/workflow-create-module-brief.md"
"create-module","Create a complete BMAD module with agents, workflows, and infrastructure","bmb","_bmad/bmb/workflows/module/workflow-create-module.md"
"edit-module","Edit existing BMAD modules while maintaining coherence","bmb","_bmad/bmb/workflows/module/workflow-edit-module.md"
"validate-module","Run compliance check on BMAD modules against best practices","bmb","_bmad/bmb/workflows/module/workflow-validate-module.md"
"create-workflow","Create a new BMAD workflow with proper structure and best practices","bmb","_bmad/bmb/workflows/workflow/workflow-create-workflow.md"
"edit-workflow","Edit existing BMAD workflows while maintaining integrity","bmb","_bmad/bmb/workflows/workflow/workflow-edit-workflow.md"
"rework-workflow","Rework a Workflow to a V6 Compliant Version","bmb","_bmad/bmb/workflows/workflow/workflow-rework-workflow.md"
"validate-max-parallel-workflow","Run validation checks in MAX-PARALLEL mode against a workflow requires a tool that supports Parallel Sub-Processes","bmb","_bmad/bmb/workflows/workflow/workflow-validate-max-parallel-workflow.md"
"validate-workflow","Run validation check on BMAD workflows against best practices","bmb","_bmad/bmb/workflows/workflow/workflow-validate-workflow.md"
"design-thinking","Guide human-centered design processes using empathy-driven methodologies. Use when the user says """"lets run design thinking"""" or """"I want to apply design thinking""""","cis","_bmad/cis/workflows/design-thinking/workflow.yaml"
"innovation-strategy","Identify disruption opportunities and architect business model innovation. Use when the user says """"lets create an innovation strategy"""" or """"I want to find disruption opportunities""""","cis","_bmad/cis/workflows/innovation-strategy/workflow.yaml"
"problem-solving","Apply systematic problem-solving methodologies to complex challenges. Use when the user says """"guide me through structured problem solving"""" or """"I want to crack this challenge with guided problem solving techniques""""","cis","_bmad/cis/workflows/problem-solving/workflow.yaml"
"storytelling","Craft compelling narratives using story frameworks. Use when the user says """"help me with storytelling"""" or """"I want to create a narrative through storytelling""""","cis","_bmad/cis/workflows/storytelling/workflow.yaml"
"brainstorm-game","Game concept ideation with guided design techniques. Use when the user says """"lets create game design ideas"""" or """"I want to brainstorm game concepts""""","gds","_bmad/gds/workflows/1-preproduction/brainstorm-game/workflow.yaml"
"create-game-brief","Game vision definition workflow through collaborative step-by-step discovery. Use when the user says """"lets create a game brief"""" or """"I want to define my game vision""""","gds","_bmad/gds/workflows/1-preproduction/game-brief/workflow.md"
